ELEVATORIAS,PLANTA,TIPO,ENDEREÇO,BAIRRO,MUNICIPIO,CEP
NESTOR MARINHO,PL-RJB-EAT0825,EAT,"R. Nestor Marinho, 14 - Jardim Nossa Sra. das Gracas, Nova Iguaçu - RJ, 26261-230",Jardim Alvorada,NOVA IGUAÇU,26261-230
NILÓPOLIS,PL-RJB-EAT0113,EAT,"Av. Nazaré, 3076 - Olinda, Nilópolis - RJ, 21645-010",Olinda,NILÓPOLIS,21645-010
NILO PECANHA (CEMITERIO),PL-RJB-EAT0024,EAT,"R. Dep. Andrade Figueira, 826 - Cabuís, Nilópolis - RJ, 26545-191",Cabuís,NILÓPOLIS,26545-191
ODILON BRAGA,PL-RJB-EAT0737,EAT,"R. Odilon Braga, 119 - Queimados, RJ, 26310-190",Centro,QUEIMADOS,26310-190
NOÊMIA VIEIRA,PL-RJB-EAT0124,EAT,"Av. Abílio Augusto Távora, 3715 - Jardim Alvorada, Nova Iguaçu - RJ, 26265-090",Jardim Alvorada,NOVA IGUAÇU,26265-090
OLIVIA MARIA MACHADO,PL-RJB-EAT0735,EAT,"R. Olívia Maria Machado, 145 - Vila Santa Catarina, Queimados - RJ, 26323-400",Vila Santa Catarina,QUEIMADOS,26323-400
PADRE VIEIRA,PL-RJB-EAT0022,EAT,"Rua Nair Dias, 657 - Vila São Luís, Nova Iguaçu - RJ, 26012-451",Vila São Luís,NOVA IGUAÇU,26012-451
PAIOL,PL-RJB-EAT0050,EAT,"Rua Gen. Olímpio da Fonseca, 917 - Paiol de Pólvora, Nilópolis - RJ, 26545-470",Paiol de Pólvora,NILÓPOLIS,26545-470
PALHADA,PL-RJB-EAT0044,EAT,"Estr. da Palhada, 2337 - Valverde, Nova Iguaçu - RJ, 26290-006",Valverde,NOVA IGUAÇU,26290-006
PARQUE MARAVILHA,PL-RJB-EAT0733,EAT,"Estrada da Gama, 815 - Oliveira - Nova Iguaçu",Oliveira,NOVA IGUAÇU,0
PASTOR ANTONIO MARTINS,PL-RJB-EAT0823,EAT,"R. Rui Chagas, 07 - q 17 loja 01 sala 04 - Flesmam, Queimados - RJ, 26383-320",Flesmam,QUEIMADOS,26383-320
PRAÇA DA BÍBLIA,PL-RJB-EAT0692,EAT,"R. Olímpia Silva, 16 - Centro, Queimados - RJ, 26327-380",Pacaembu,QUEIMADOS,26330-260
QUEIMADOS,PL-RJB-EAT0697,EAT,"Estr. Carlos Sampaio, 176 - São Simao, Queimados - RJ, 26327-410",São Simao,QUEIMADOS,26327-410
QUISSUCO,PL-RJB-EAT0102,EAT,"Estr. Padre José Anchieta, 76 - Laranjal Santo Antonio",Laranjal,QUEIMADOS,0
PINDORAMA,PL-RJB-EAT0099,EAT,"R. Itaparica, 16 - Banco de Areia, Mesquita - RJ, 26570-250",Banco de Areia,MESQUITA,26570-250
RESERVATÓRIO CABUÇU ALTO,PL-RJB-RES0113,RES,"Próximo Rua Passa Vinte, Nova Iguaçu - RJ 26290",Campo Alegre,NOVA IGUAÇU,26290-000
RESERVATÓRIO NILÓPOLIS,PL-RJB-RES0107,RES,"Rua Antônio Pereira de Carvalho, Próximo ao n. 217",CENTRO,NILÓPOLIS,
RODILÂNDIA,PL-RJB-EAT0059,EAT,"Rua Rodolfo Torres,67 - Rodilandia - Nova Iguaçu",Rodilandia,NOVA IGUAÇU,0
ROLDAO GONCALVES,PL-RJB-EAT0017,EAT,"R. João Rodrigues da Cunha, 1174 - Olinda, Nilópolis - RJ, 26510-049",Olinda,NILÓPOLIS,26510-049
SANTO ELIAS,PL-RJB-EEE1006,EEE,"R. Teresinha, 320 - Jacutinga, Mesquita - RJ, 26564-240",Jacutinga,MESQUITA,24064-240
SANTO ANTÔNIO,PL-RJB-EAT0014,EAT,"R. Santo Antônio, 9 - Califórnia, Nova Iguaçu - RJ, 26010-050",Califórnia,NOVA IGUAÇU,26010-050
SÃO JOAQUIM,PL-RJB-EAT0824,EAT,"Estr. Manuel Resende, 568, Nova Iguaçu - RJ, 26083-530",Rodilândia,NOVA IGUAÇU,26083-530
SÃO JORGE,PL-RJB-ETE1007,ETE,"Rua Gastão Costa, 56, São Jorge, Queimados - RJ, 26381-324",São Jorge,QUEIMADOS,26381-324
SHEIK REJANE,PL-RJB-EAT0831,EAT,"R. Cheik Rejane, 2-380 - São Jorge, Japeri - RJ, 26435-270",São Jorge,JAPERI,26435-270
TABELIÃO MURILO COSTA,PL-RJB-EAT0751,EAT,"R. Cel. Alfredo Soares, 101 - Centro, Nova Iguaçu - RJ, 26255-150",Centro,NOVA IGUAÇU,26255-150
TACIANO MANACÁ,PL-RJB-EAT0829,EAT,"R. Taciano Manacá, 101 - São Francisco, Queimados - RJ",Sao Francisco,QUEIMADOS,0
TIMBO,PL-RJB-EAT0739,EAT,"R. Timbó, 10 - Vila das Porteiras, Queimados - RJ, 26385-396",Vila das Porteiras,QUEIMADOS,26385-396
VISTA ALEGRE,PL-RJB-EAT0828,EAT,"R. Gurupi Ac R Padre Jose Anchietpa, 72 - Sao Francisco, Queimados - RJ, 26381-348",Sao Francisco,QUEIMADOS,26381-348
TRÊS CORAÇÕES,PL-RJB-EAT0061,EAT,"R. Pindá, 20-66 - Posse, Nova Iguaçu - RJ, 26022-550",Posse,NOVA IGUAÇU,26022-550
YOLANDA,PL-RJB-EAT0817,EAT,"Rua Caminho de Madureira, s/n - Iolanda, Nova Iguaçu - RJ, 26277-425",Yolanda,NOVA IGUAÇU,26277-425
WALLACE PAES LEME,PL-RJB-EAT0098,EAT,"Rua Pracinha Wallace Paes Leme, 523 - Olinda, Nilópolis - RJ, 26510-044",Olinda,NILÓPOLIS,26510-044
3º LINHA PRETA,PL-RJB-EAT0849,EAT,"Tv. Guaranis - Heliópolis, Belford Roxo",Heliópolis,Belford Roxo,26140-014
CLUBE 34,PL-RJB-EAT0861,EAT,"R. Rio de Janeiro, 63 - Jardim Paraíso, Nova Iguaçu - RJ, 26086-005",Jardim Paraíso,NOVA IGUAÇU,26086-005
MONTE LIBANO,PL-RJB-EAT0774,EAT,RUA DAMAS BATISTA 872 - CENTRO - NOVA IGUAÇU,CENTRO,NOVA IGUAÇU,26220-180
CHATUBA,PL-RJB-EEE0073,EEE,"Rua Magno de Carvalho, 546 - Edson Passos, Mesquita - RJ, 26587-021",Edson Passos,MESQUITA,26587-021
VILA NORMA,PL-RJB-EEE1100,EEE,"Av. Laura Gonçalves Machado, 255 - Cosmorama, Mesquita - RJ, 26572-360",Cosmorama,MESQUITA,26572-360
BANCO DE AREIA,PL-RJB-EEE0100,EEE,"R. Bicuíba, 399 - Banco de Areia",Banco de Areia,MESQUITA,26570-090
