Un;Município;Tag Planta;Descrição Planta;Tag Comp;Descrição Comp;Atributo;Valor
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT0773;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 773 - CAMARISTA MÉIER;RJB-18306;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT0773;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 773 - CAMARISTA MÉIER;RJB-18306;Valvula Redutora de Pressão;FABRICANTE;Krohne conaut
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT0773;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 773 - CAMARISTA MÉIER;RJB-18306;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT0773;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 773 - CAMARISTA MÉIER;RJB-18306;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT0773;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 773 - CAMARISTA MÉIER;RJB-18306;Valvula Redutora de Pressão;TIPO;REDUTORA DE PRESSÃO
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT1008;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 1008 - PRAÇA DA PALOMA;RJB-01197;Valvula Redutora de Pressão;ACIONAMENTO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT1008;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 1008 - PRAÇA DA PALOMA;RJB-01197;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;PN 16
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT1008;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 1008 - PRAÇA DA PALOMA;RJB-01197;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;50
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT1008;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 1008 - PRAÇA DA PALOMA;RJB-01197;Valvula Redutora de Pressão;FABRICANTE;VALLOY
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT1008;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 1008 - PRAÇA DA PALOMA;RJB-01197;Valvula Redutora de Pressão;MODELO;177
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT1008;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 1008 - PRAÇA DA PALOMA;RJB-01197;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-EAT1008;ESTAÇÃO ELEVATÓRIA DE ÁGUA TRATADA (EEAT) 1008 - PRAÇA DA PALOMA;RJB-01197;Valvula Redutora de Pressão;TIPO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0228;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0228 - AV ABILIO AUGUSTO TAVORA - MARAPICU;RJB-30779;Valvula Redutora de Pressão;ACIONAMENTO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0228;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0228 - AV ABILIO AUGUSTO TAVORA - MARAPICU;RJB-30779;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0228;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0228 - AV ABILIO AUGUSTO TAVORA - MARAPICU;RJB-30779;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0228;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0228 - AV ABILIO AUGUSTO TAVORA - MARAPICU;RJB-30779;Valvula Redutora de Pressão;FABRICANTE;Bermad
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0228;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0228 - AV ABILIO AUGUSTO TAVORA - MARAPICU;RJB-30779;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0228;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0228 - AV ABILIO AUGUSTO TAVORA - MARAPICU;RJB-30779;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0228;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0228 - AV ABILIO AUGUSTO TAVORA - MARAPICU;RJB-30779;Valvula Redutora de Pressão;TIPO;Valvula Redutora de Pressão
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0336;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0336 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 3,5;RJB-27124;Valvula Redutora de Pressão;ACIONAMENTO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0336;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0336 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 3,5;RJB-27124;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0336;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0336 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 3,5;RJB-27124;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0336;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0336 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 3,5;RJB-27124;Valvula Redutora de Pressão;FABRICANTE;AVK
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0336;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0336 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 3,5;RJB-27124;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;NOVA IGUAÇU;PL-RJB-ECT0336;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0336 - VÁLVULA REGULADORA DE PRESSÃO (VRP) ALÇA 3,5;RJB-27124;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
