Un;Município;Tag Planta;Descrição Planta;Tag Comp;Descrição Comp;Atributo;Valor
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-30895;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-30895;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-30895;Valvula Redutora de Pressão;FABRICANTE;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-30895;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-30895;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-30895;Valvula Redutora de Pressão;TIPO;Valvula Redutora de Pressão
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-P-545780;Valvula Redutora de Pressão;ACIONAMENTO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-P-545780;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-P-545780;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-P-545780;Valvula Redutora de Pressão;FABRICANTE;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-P-545780;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-P-545780;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0389;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0389 -  DN 200 RUA CAJATUBA;RJB-P-545780;Valvula Redutora de Pressão;TIPO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0403;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0403 -  DN 250 RUA JOSÉ LOURENÇO;RJB-30249;Valvula Redutora de Pressão;ACIONAMENTO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0403;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0403 -  DN 250 RUA JOSÉ LOURENÇO;RJB-30249;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0403;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0403 -  DN 250 RUA JOSÉ LOURENÇO;RJB-30249;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0403;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0403 -  DN 250 RUA JOSÉ LOURENÇO;RJB-30249;Valvula Redutora de Pressão;FABRICANTE;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0403;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0403 -  DN 250 RUA JOSÉ LOURENÇO;RJB-30249;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0403;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0403 -  DN 250 RUA JOSÉ LOURENÇO;RJB-30249;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0403;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0403 -  DN 250 RUA JOSÉ LOURENÇO;RJB-30249;Valvula Redutora de Pressão;TIPO;Valvula Redutora de Pressão
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0404;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0404 -  DN 200 RUA CAROLINA SANTOS;RJB-P-520600;Valvula Redutora de Pressão;ACIONAMENTO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0404;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0404 -  DN 200 RUA CAROLINA SANTOS;RJB-P-520600;Valvula Redutora de Pressão;CLASSE_DE_PRESSAO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0404;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0404 -  DN 200 RUA CAROLINA SANTOS;RJB-P-520600;Valvula Redutora de Pressão;DIAMETRO_NOMINAL;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0404;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0404 -  DN 200 RUA CAROLINA SANTOS;RJB-P-520600;Valvula Redutora de Pressão;FABRICANTE;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0404;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0404 -  DN 200 RUA CAROLINA SANTOS;RJB-P-520600;Valvula Redutora de Pressão;MODELO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0404;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0404 -  DN 200 RUA CAROLINA SANTOS;RJB-P-520600;Valvula Redutora de Pressão;PRESSAO_TRABALHO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0404;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0404 -  DN 200 RUA CAROLINA SANTOS;RJB-P-520600;Valvula Redutora de Pressão;TIPO;
Águas do Rio - Bloco B;RIO DE JANEIRO;PL-RJB-ECT0406;ESTAÇÃO DE CONTROLE E TELEMETRIA (ECT) 0406 -  DN 250 R. DOMINGOS LOPES;RJB-30120;Valvula Redutora de Pressão;ACIONAMENTO;
